Rank,Title,Rating,Episodes,Dates
1,Shingeki no Kyojin,8.54,TV (25 eps),Apr 2013 - Sep 2013
2,Death Note,8.62,TV (37 eps),Oct 2006 - Jun 2007
3,Fullmetal Alchemist: Brotherhood,9.09,TV (64 eps),Apr 2009 - Jul 2010
4,One Punch Man,8.50,TV (12 eps),Oct 2015 - Dec 2015
5,Sword Art Online,7.20,TV (25 eps),Jul 2012 - Dec 2012
6,Boku no Hero Academia,7.87,TV (13 eps),Apr 2016 - Jun 2016
7,Kimetsu no Yaiba,8.48,TV (26 eps),Apr 2019 - Sep 2019
8,Naruto,7.99,TV (220 eps),Oct 2002 - Feb 2007
9,Tokyo Ghoul,7.79,TV (12 eps),Jul 2014 - Sep 2014
10,Hunter x Hunter (2011),9.04,TV (148 eps),Oct 2011 - Sep 2014
11,Kimi no Na wa.,8.84,Movie (1 eps),Aug 2016 - Aug 2016
12,Shingeki no Kyojin Season 2,8.51,TV (12 eps),Apr 2017 - Jun 2017
13,Steins;Gate,9.07,TV (24 eps),Apr 2011 - Sep 2011
14,Boku no Hero Academia 2nd Season,8.09,TV (25 eps),Apr 2017 - Sep 2017
15,Jujutsu Kaisen,8.62,TV (24 eps),Oct 2020 - Mar 2021
16,Naruto: Shippuuden,8.26,TV (500 eps),Feb 2007 - Mar 2017
17,No Game No Life,8.07,TV (12 eps),Apr 2014 - Jun 2014
18,Shingeki no Kyojin Season 3,8.62,TV (12 eps),Jul 2018 - Oct 2018
19,One Piece,8.71,TV (? eps),Oct 1999 -
20,Koe no Katachi,8.93,Movie (1 eps),Sep 2016 - Sep 2016
21,Shingeki no Kyojin Season 3 Part 2,9.05,TV (10 eps),Apr 2019 - Jul 2019
22,Code Geass: Hangyaku no Lelouch,8.70,TV (25 eps),Oct 2006 - Jul 2007
23,Toradora!,8.07,TV (25 eps),Oct 2008 - Mar 2009
24,Shigatsu wa Kimi no Uso,8.65,TV (22 eps),Oct 2014 - Mar 2015
25,Re:Zero kara Hajimeru Isekai Seikatsu,8.23,TV (25 eps),Apr 2016 - Sep 2016
26,Boku no Hero Academia 3rd Season,8.02,TV (25 eps),Apr 2018 - Sep 2018
27,Noragami,7.95,TV (12 eps),Jan 2014 - Mar 2014
28,Boku dake ga Inai Machi,8.30,TV (12 eps),Jan 2016 - Mar 2016
29,Akame ga Kill!,7.47,TV (24 eps),Jul 2014 - Dec 2014
30,Angel Beats!,8.06,TV (13 eps),Apr 2010 - Jun 2010
31,Mob Psycho 100,8.49,TV (12 eps),Jul 2016 - Sep 2016
32,Nanatsu no Taizai,7.65,TV (24 eps),Oct 2014 - Mar 2015
33,Mirai Nikki (TV),7.40,TV (26 eps),Oct 2011 - Apr 2012
34,Ansatsu Kyoushitsu,8.08,TV (22 eps),Jan 2015 - Jun 2015
35,Sword Art Online II,6.71,TV (24 eps),Jul 2014 - Dec 2014
